X1;X2
371645.864;2.59E-08
371651.3397;2.58E-08
371660.4659;2.34E-08
371667.7668;2.48E-08
371673.2425;2.80E-08
371678.7182;2.62E-08
371684.1939;2.20E-08
371693.3201;1.92E-08
371698.7958;1.76E-08
371705.1841;1.76E-08
371710.6598;1.54E-08
371715.2229;5.91E-08
371717.0481;2.20E-08
371720.6986;2.09E-08
371726.1743;1.82E-08
371730.7374;1.95E-08
371737.1257;2.48E-08
371742.6014;1.84E-08
371751.7276;2.02E-08
371758.1159;2.07E-08
371762.679;2.62E-08
371765.4168;2.44E-08
371769.9799;3.23E-08
371771.8051;1.95E-08
371785.4944;3.28E-08
371796.4458;2.05E-08
371802.8341;2.09E-08
371807.3972;2.91E-08
371811.9603;2.98E-08
371817.436;2.20E-08
371824.7369;1.93E-08
371829.3;1.87E-08
371833.8631;1.77E-08
371837.5135;1.63E-08
371844.8144;1.87E-08
371852.1154;2.18E-08
371857.5911;2.13E-08
371862.1542;2.42E-08
371868.5425;2.51E-08
371873.1056;2.02E-08
371877.6686;3.36E-08
371881.3191;2.83E-08
371886.7948;3.56E-08
371892.2705;3.68E-08
371897.7462;2.09E-08
371902.5711;1.94E-08
371908.443;1.89E-08
371913.1406;1.68E-08
371917.8382;1.67E-08
371920.187;1.41E-08
371922.5357;1.31E-08
371926.0589;2.52E-08
371931.9309;3.65E-08
371934.2797;2.23E-08
371941.326;2.10E-08
371946.0236;2.00E-08
371948.3724;2.35E-08
371951.8955;1.65E-08
371955.4187;2.62E-08
371960.1163;1.94E-08
371964.8139;4.02E-08
371971.8602;2.45E-08
371980.081;3.72E-08
371983.6041;2.33E-08
371988.3017;2.58E-08
372002.3944;3.07E-08
372007.092;2.41E-08
372009.4408;2.20E-08
372014.1383;2.04E-08
372025.8823;1.21E-08
372032.9286;1.55E-08
372037.6262;1.30E-08
372044.6725;1.03E-08
372051.7189;1.20E-08
372061.114;1.20E-08
372065.8116;1.99E-08
372072.858;1.27E-08
372079.9043;1.11E-08
372085.7763;1.21E-08
372091.0127;1.39E-08
372094.4393;1.01E-08
372097.8659;9.68E-09
372103.0058;1.68E-08
372106.4324;1.37E-08
372111.5723;8.13E-09
372114.1422;1.06E-08
372118.4255;1.23E-08
372123.5653;1.00E-08
372132.1318;1.04E-08
372137.2717;1.10E-08
372142.4116;1.14E-08
372145.8382;1.11E-08
372150.1214;1.06E-08
372153.548;1.82E-08
372155.2613;1.30E-08
372160.4012;9.45E-09
372162.9711;1.18E-08
372168.111;1.26E-08
372173.2509;1.13E-08
372177.5341;1.05E-08
372179.2474;9.00E-09
372184.3873;1.01E-08
372186.1006;1.19E-08
372191.2405;7.87E-09
372193.8104;1.04E-08
372195.5237;1.24E-08
372197.237;1.05E-08
372200.6636;9.85E-09
372203.2335;1.19E-08
372206.6601;1.47E-08
372210.9434;2.09E-08
372216.0832;1.54E-08
372221.2231;1.54E-08
372226.363;1.42E-08
372229.7896;1.47E-08
372232.3595;1.73E-08
372235.7861;1.56E-08
372239.2127;1.46E-08
372245.2093;1.78E-08
372249.4925;1.01E-08
372251.2058;6.83E-09
372254.6324;1.16E-08
372261.4856;1.09E-08
372264.0555;1.37E-08
372267.4821;1.51E-08
372273.4786;1.15E-08
372279.4752;1.02E-08
372284.615;1.43E-08
372288.0416;9.19E-09
372294.8948;1.77E-08
372303.4613;1.80E-08
372308.6012;1.40E-08
372315.4543;1.31E-08
372320.5942;1.87E-08
372324.0208;1.91E-08
372329.1607;1.95E-08
372336.0139;2.38E-08
372339.4405;1.60E-08
372344.5803;2.18E-08
372349.7202;1.37E-08
372356.5734;9.48E-09
372360;1.89E-08
372365.6606;2.25E-08
372370.1287;1.33E-08
372379.0649;1.58E-08
372383.533;1.67E-08
372390.2351;1.54E-08
372396.9373;2.16E-08
372403.6394;1.67E-08
372410.3416;1.14E-08
372419.2778;1.76E-08
372428.2139;2.51E-08
372438.2671;1.53E-08
372452.7885;2.05E-08
372463.9587;2.01E-08
372471.7778;1.94E-08
372476.2459;2.90E-08
372480.714;1.42E-08
372487.4162;3.79E-08
372495.2353;2.36E-08
372503.0545;5.38E-09
372508.6396;7.16E-09
372516.2354;9.82E-09
372519.8098;4.67E-08
372525.395;3.51E-08
372532.0971;3.27E-08
372537.6822;1.61E-08
372543.2673;1.13E-08
372547.7354;8.49E-09
372552.2035;7.14E-09
372556.6716;3.27E-08
372562.2567;1.38E-08
372566.7248;1.60E-08
372568.9589;9.71E-09
372576.778;1.26E-08
372586.8312;8.46E-09
372593.5334;1.07E-08
372601.3525;1.41E-08
372603.5866;1.79E-08
372606.9377;1.46E-08
372611.4058;1.36E-08
372618.1079;1.17E-08
372623.693;1.12E-08
372630.3952;1.29E-08
372634.8632;1.60E-08
372642.6824;1.88E-08
372647.1505;2.04E-08
372650.5016;2.93E-08
372656.0867;1.72E-08
372660.5548;2.16E-08
372668.3739;1.75E-08
372673.9591;1.50E-08
372679.5442;2.04E-08
372686.2463;1.38E-08
372691.8314;2.18E-08
