"X1","X2"
371629.301512225,0.649
371634.777211612,2.53
371643.903377256,0.46
371651.204309771,0.589
371656.680009158,0.443
371662.155708544,2.62
371667.631407931,1.56
371676.757573575,0.276
371682.233272962,2.24
371688.621588913,2.13
371694.097288299,2.47
371698.660371121,2.45
371700.48560425,2.47
371704.136070508,1.55
371709.611769894,1.11
371714.174852717,0.119
371720.563168667,2.1
371726.038868054,2.2
371735.165033698,0.326
371741.553349649,0.774
371746.116432471,0.212
371748.854282165,0.27
371753.417364987,0.398
371755.242598116,2.43
371768.931846582,2.47
371779.883245355,0.257
371786.271561306,2.18
371790.834644128,1.75
371795.39772695,2.91
371800.873426337,0.172
371808.174358852,2.37
371812.737441674,0.14
371817.300524497,0.148
371820.950990754,0.352
371828.25192327,0.584
371835.552855785,0.429
371841.028555172,1.74
371845.591637994,1.94
371851.979953945,2.06
371856.543036767,0.691
371861.106119589,2.49
371864.756585847,2.79
371870.232285233,2.89
371875.70798462,2.68
371881.183684006,2.03
371886.008542565,2.21
371891.880504067,2.67
371896.578073268,1.83
371901.27564247,0.513
371903.624427071,0.611
371905.973211672,0.283
371909.496388573,2.48
371915.368350075,2.47
371917.717134676,0.232
371924.763488479,0.586
371929.46105768,0.687
371931.809842281,0.399
371935.333019182,0.874
371938.856196084,2.76
371943.553765285,2.02
371948.251334487,2.49
371955.29768829,0.129
371963.518434393,2.92
371967.041611294,0.753
371971.739180496,1.12
371983.4831035,0.244
371985.831888101,0.165
371990.529457303,0.604
371992.878241903,1.69
371997.575811105,0.567
372009.319734109,0.697
372016.366087912,0.583
372021.063657114,0.51
372028.110010916,0.398
372035.156364719,2.47
372044.551503122,0.772
372049.249072324,1.03
372056.295426127,2.44
372063.341779929,0.426
372069.213741431,0.19
372074.45021299,0.948
372077.876802304,2.91
372081.303391618,2.99
372086.443275589,2.46
372089.869864904,2.63
372095.009748875,2.75
372097.579690861,1.25
372101.862927504,2.55
372107.002811475,0.23
372115.56928476,0.412
372120.709168732,2.55
372125.849052703,1.89
372129.275642017,1.44
372133.55887866,2.62
372136.985467974,2.78
372138.698762632,0.851
372143.838646603,0.352
372146.408588589,3.61
372156.688356531,0.16
372156.688356531,2.74
372160.971593174,0.711
372162.684887831,0.511
372167.824771803,2.91
372169.53806646,0.704
372174.677950431,0.53
372177.247892417,0.749
372178.961187074,0.728
372180.674481731,0.242
372184.101071045,0.07
372186.671013031,2.83
372190.097602345,0.492
372194.380838988,0.173
372199.520722959,0.423
372204.660606931,0.201
372209.800490902,0.13
372213.227080216,0.379
372215.797022202,0.599
372219.223611516,0.838
372222.65020083,0.192
372228.64673213,0.349
372232.929968773,0.252
372234.64326343,0.295
372238.069852744,0.076
372244.923031373,0.573
372247.492973359,0.915
372250.919562673,0.292
372256.916093973,0.532
372262.912625273,0.523
372268.052509244,0.209
372271.479098558,0.612
372278.332277187,1.67
372286.898750472,0.784
372292.038634444,0.113
372298.891813072,0.367
372304.031697044,0.38
372307.458286358,0.785
372312.598170329,0.474
372319.451348958,1.85
372322.877938272,0.603
372328.017822243,1.33
372333.157706215,0.903
372340.010884843,1.55
372343.437474157,0.48
372349.098110027,0.147
372353.566203139,0.249
372362.502389362,0.914
372366.970482474,1.07
372373.672622141,1.65
372380.374761809,0.178
372387.076901476,0.101
372393.779041144,0.319
372402.715227367,0.309
372411.65141359,0.759
372421.704623092,1.48
372436.225925704,0.458
372447.396158484,0.112
372455.215321429,0.983
372459.68341454,0.479
372464.151507652,1.27
372470.85364732,1.62
372478.672810265,1.27
372486.49197321,0.631
372492.0770896,0.466
372499.67284789,0.369
372503.247322379,1.76
372508.832438769,1.49
372515.534578436,1.71
372521.119694826,0.244
372526.704811215,0.774
372531.172904327,0.156
372535.640997438,0.728
372540.10909055,1.91
372545.69420694,0.288
372550.162300051,0.934
372552.396346607,0.499
372560.215509553,0.132
372570.268719054,0.655
372576.970858721,0.24
372584.790021667,1.47
372587.024068222,0.679
372590.375138056,0.101
372594.843231168,0.524
372601.545370835,1.03
372607.130487225,0.234
372613.832626892,0.403
372618.300720004,0.707
372626.119882949,1.28
372630.587976061,0.166
372633.939045895,2.65
372639.524162284,1.85
372643.992255396,1.57
372651.811418341,0.853
372657.396534731,2.27
372662.98165112,0.916
372669.683790788,1.34
372675.268907177,2.77
372675.268907177,3.41
