X1;X2
371645.864;2.53
371651.3397;2.5
371660.4659;2.56
371667.7668;2.71
371673.2425;2.67
371678.7182;2.66
371684.1939;2.68
371698.7958;2.86
371705.1841;2.78
371710.6598;2.91
371717.0481;2.72
371720.6986;2.33
371726.1743;2.52
371730.7374;2.56
371742.6014;2.23
371751.7276;2.88
371758.1159;2.99
371762.679;2.86
371765.4168;2.97
371769.9799;3.05
371771.8051;2.72
371785.4944;1.18
371796.4458;2.64
371802.8341;2.83
371807.3972;2.79
371817.436;3.19
371824.7369;2.62
371829.3;1.78
371833.8631;2.78
371837.5135;2.34
371844.8144;2.29
371852.1154;3.02
371857.5911;2.67
371862.1542;2.73
371868.5425;2.45
371873.1056;2.43
371877.6686;1.62
371881.3191;1.88
371892.2705;0.45
371897.7462;2.6
371902.5711;2.8
371908.443;2.93
371913.1406;2.21
371917.8382;2.16
371920.187;1.68
371922.5357;1.79
371926.0589;0.89
371934.2797;2.11
371941.326;1.68
371946.0236;2.24
371948.3724;0.57
371951.8955;1.41
371960.1163;1.32
371971.8602;1.39
371983.6041;1.17
371988.3017;1.47
372000.0456;2.42
372002.3944;1.16
372007.092;1.03
372009.4408;1.13
372014.1383;1.06
372025.8823;-0.02
372032.9286;0.19
372037.6262;0.96
372044.6725;0.36
372051.7189;0.39
372061.114;0.07
372065.8116;0.01
372072.858;-0.11
372079.9043;-0.26
372085.7763;0.17
372091.0127;0.11
372094.4393;0.42
372097.8659;0.24
372103.0058;0.03
372106.4324;0.46
372111.5723;-0.75
372114.1422;-0.47
372118.4255;-1.22
372123.5653;-0.59
372132.1318;0.78
372137.2717;0.71
372142.4116;1.06
372145.8382;0.61
372150.1214;0.77
372153.548;0.99
372155.2613;0.99
372160.4012;1.07
372162.9711;1.01
372173.2509;1.1
372173.2509;1.08
372177.5341;1.16
372179.2474;1.21
372184.3873;1.22
372186.1006;1.18
372191.2405;0.97
372193.8104;1.13
372195.5237;1.11
372197.237;0.97
372200.6636;1.08
372203.2335;1.17
372206.6601;1.31
372210.9434;1.32
372216.0832;1.32
372221.2231;1.34
372226.363;1.32
372229.7896;1.19
372232.3595;1.29
372235.7861;1.35
372239.2127;1.33
372245.2093;1.19
372249.4925;1.21
372251.2058;1.58
372254.6324;0.96
372261.4856;1.3
372264.0555;1.2
372267.4821;0.98
372273.4786;1.44
372279.4752;1.27
372284.615;1.44
372288.0416;1.35
372294.8948;1.36
372303.4613;1.55
372308.6012;1.72
372315.4543;1.66
372320.5942;1.77
372324.0208;1.59
372329.1607;1.68
372336.0139;1.75
372339.4405;1.77
372344.5803;2.01
372349.7202;2.06
372356.5734;2.13
372360;2.1
372365.6606;2.5
372370.1287;2.12
372379.0649;1.26
372383.533;1.88
372390.2351;1.69
372396.9373;2.84
372403.6394;1.97
372410.3416;2.61
372419.2778;2.68
372428.2139;3.16
372438.2671;2.68
372452.7885;2.21
372463.9587;1.04
372471.7778;2.37
372476.2459;2.02
372480.714;1.83
372495.2353;2.33
372503.0545;2.38
372508.6396;2.7
372516.2354;2.25
372537.6822;1.74
372543.2673;1.98
372547.7354;1.71
372552.2035;1.02
372562.2567;1.95
372566.7248;2.01
372568.9589;1.62
372576.778;1.73
372586.8312;1.97
372593.5334;2.29
372601.3525;1.9
372603.5866;1.72
372606.9377;1.67
372611.4058;1.53
372618.1079;1.99
372623.693;1.29
372630.3952;1.44
372634.8632;1.43
372642.6824;0.53
372647.1505;1.23
372656.0867;1
372660.5548;-0.99
372668.3739;-0.2
372673.9591;-0.24
372679.5442;-0.62
372686.2463;0.84
372691.8314;0.28
372691.8314;-0.25
