"Location","Band Power","Total Power","Band/Total Power"
371720.864,1.74395689899944e-17,2.06210562813237e-16,0.0845716570095845
371723.864,1.70758872521228e-17,2.05101995653104e-16,0.083255588019747
371726.864,1.67793996824751e-17,2.03832407218989e-16,0.0823195875052781
371729.864,1.62359763703956e-17,2.02356632231957e-16,0.0802344662061024
371732.864,1.53017626833136e-17,2.01346543112205e-16,0.0759971462474344
371735.864,1.43973620460518e-17,2.01808430394856e-16,0.0713417274882028
371738.864,1.36394955559009e-17,2.02933766449362e-16,0.0672115626420619
371741.864,1.27922704750629e-17,2.04888155698151e-16,0.0624353830092012
371744.864,1.19970946787277e-17,2.07855225953325e-16,0.0577185135649259
371747.864,1.13189381646508e-17,2.10910481489138e-16,0.0536670253878954
371750.864,1.10860701152748e-17,2.13550804072631e-16,0.051913033825451
371753.864,1.17030613977213e-17,2.16927533757213e-16,0.0539491746161624
371756.864,1.30278628040972e-17,2.19661493074241e-16,0.0593088147666103
371759.864,1.46694420492366e-17,2.20573464526586e-16,0.0665059239139278
371762.864,1.63480518542162e-17,2.19136368004157e-16,0.0746021849458873
371765.864,1.76137504971322e-17,2.1381748975418e-16,0.0823775010986346
371768.864,1.83752864243292e-17,2.04961330727747e-16,0.0896524547293135
371771.864,1.86593050016447e-17,1.92742044078303e-16,0.0968097287277096
371774.864,1.8667812440462e-17,1.77588923211773e-16,0.105118112677562
371777.864,1.87652725948581e-17,1.6320727249575e-16,0.114978164317689
371780.864,1.92502645413204e-17,1.50378165386824e-16,0.128012364639521
371783.864,2.00766074330879e-17,1.3674489644946e-16,0.146817965089528
371786.864,2.14589665294631e-17,1.26926723878852e-16,0.169065787516465
371789.864,2.08838711630434e-17,1.17514609627254e-16,0.177712977384559
371792.864,1.98604043650992e-17,1.03461995320088e-16,0.191958451058823
371795.864,2.00141758694286e-17,1.02418377021555e-16,0.195415866287515
371798.864,1.99593978853391e-17,1.0068193722289e-16,0.198242092235005
371801.864,2.11743325202897e-17,1.0135593563504e-16,0.208910631504935
371804.864,2.2319151542569e-17,1.0315524002604e-16,0.216364690120783
371807.864,2.36323567910802e-17,1.05842036739389e-16,0.223279497627861
371810.864,2.64481185408396e-17,1.12670003406052e-16,0.234739662210918
371813.864,3.06219890897123e-17,1.24425901137564e-16,0.246106227158098
371816.864,3.52361208536175e-17,1.38312737462507e-16,0.254756875614359
371819.864,3.62046912670802e-17,1.44220605117626e-16,0.251036883651623
371822.864,3.42656149736277e-17,1.46379615000224e-16,0.234087341830863
371825.864,3.29910528011209e-17,1.51465138520903e-16,0.217812845406456
371828.864,3.26404747782648e-17,1.58806970412932e-16,0.205535529664678
371831.864,3.32832193392089e-17,1.67757636378348e-16,0.198400621621447
371834.864,3.49219195402449e-17,1.77688718708223e-16,0.196534252675822
371837.864,3.74032052761097e-17,1.87491582640036e-16,0.199492717216644
371840.864,4.00704666194454e-17,1.95094246999003e-16,0.205390303588245
371843.864,4.35897180163026e-17,2.01756469078509e-16,0.216051154222672
371846.864,4.76021105904021e-17,2.06565353912393e-16,0.230445762993685
371849.864,4.93089234654419e-17,2.06965216057898e-16,0.238247394439691
371852.864,4.80353038732538e-17,2.03685676389517e-16,0.235830544026051
371855.864,4.63936670299514e-17,2.03217515547793e-16,0.228295611748291
371858.864,4.63190499608956e-17,2.03393198351944e-16,0.227731558066887
371861.864,4.58805468553102e-17,2.03415669116635e-16,0.225550701450649
371864.864,4.52888636758759e-17,2.04957207782391e-16,0.220967411519191
371867.864,4.46749008384648e-17,2.0837778120633e-16,0.214393783155935
371870.864,4.40917623360083e-17,2.12909648788764e-16,0.207091423929563
371873.864,4.4152946336913e-17,2.17471859227004e-16,0.203028320509389
371876.864,4.42530697975108e-17,2.23016640302005e-16,0.198429452338553
371879.864,4.44561965064432e-17,2.25767183839096e-16,0.196911684641144
371882.864,4.39810515588037e-17,2.26301201959793e-16,0.194347405925921
371885.864,4.296376049467e-17,2.23297473816725e-16,0.19240594065087
371888.864,4.10844883381609e-17,2.20333487040995e-16,0.186465021227194
371891.864,4.11039962094122e-17,2.24203922642603e-16,0.183333082333867
371894.864,4.16379441829447e-17,2.26286028456385e-16,0.184005810994956
371897.864,4.19410911170497e-17,2.2680985982996e-16,0.184917406802743
371900.864,4.29671682427566e-17,2.29198467683381e-16,0.18746708334068
371903.864,4.54864999352122e-17,2.36305519457719e-16,0.192490213684369
371906.864,4.6900045016651e-17,2.4038261356564e-16,0.195105812025978
371909.864,4.61999212476853e-17,2.41933244342172e-16,0.190961442166847
